1,2066.5,8068.7
2,1055.8,7004.5
3,1973.6,6154.3
4,2463.4,6585
5,3004,7066.4
6,3426.3,7440.9
7,3682.5,7685.8
8,4570.7,8333.3
9,6096.6,6869.4
10,5792.5,5439.2
11,5245,5720.7
12,4453.9,6424.6
13,4062.5,6038.9
14,3516.4,5515.2
15,3111,5121.1
16,4366.6,4422.9
17,5131,3975.2
18,6012.1,3614.9
19,6603.4,5050.7
20,7250.9,3412.2
21,7507.1,4842.3
22,7825.2,3277
23,8382.6,4639.6
24,8551.6,2939.2
25,9407.4,4110.4
26,8633.2,4515.8
27,9520,2398.6
28,9824.1,3828.8
29,10229,2246.6
30,10725,3384
31,11975,2167.8
32,12065,3547.3
33,10961,3924.6
34,11553,5045
35,10635,5585.6
36,10156,4482
37,9114.6,5107
38,8669.8,5456.1
39,9615.7,6480.9
40,10097,6154.3
41,626.48,7331.1
42,3788.9,8074.3
43,6345.2,7162.2
44,6072.2,5551.8
45,6702.8,5326.6
46,7550.2,5112.6
47,8414.5,4960.6
48,8724.2,5129.5
49,1561.1,7536.6
50,4126.6,8009.6
51,3215.1,7253.7
52,3533.3,6552.6
53,2989.9,6050.1
54,4805.8,5071.8
55,5518.8,5580
56,6198,5244.9
57,7055.2,4946.5
58,7379,4127.3
59,8507.9,4577.7
60,8979.5,3524.8
61,9672.1,3113.7
62,10477,2815.3
63,8873.9,4811.4
64,9990.2,4155.4
65,9605.6,5630.6
66,9635.5,4794.5
