1	7	1	2	3	4	5	6	
2	18	40	6	14	15	16	17	
3	14	5	12	13				
4	12	4	10	11				
5	10	3	8	9				
6	15	13	11	9	19	20		
7	16	20	21	22				
8	25	23	22	24				
9	28	24	26	27				
10	31	27	29	30				
11	34	35	30	32	33			
12	38	33	36	37				
13	45	37	43	44				
14	57	46	44	55	56			
15	41	42	34	38	39			
16	48	49	39	45	46	47		
17	52	53	54	51				
18	50	51	41	49				
