1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,17,17,77.59,0.01,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,17,17,65.96,0.01,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,17,17,30.00,0.01,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,17,17,42.57,0.01,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,17,17,24.70,0.01,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,17,17,17.50,0.01,1
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,17,17,77.12,0.01,1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,17,17,72.00,0.01,1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,17,17,30.00,0.01,1
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,17,17,75.00,0.01,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,17,17,45.50,0.01,1
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,17,17,70.00,0.01,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,17,17,27.80,0.01,1
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,17,17,70.00,0.01,1
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,17,17,56.16,0.01,1
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,17,17,33.72,0.01,1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,17,17,81.50,0.01,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17,17,115.92,0.01,1
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,17,17,78.50,0.01,1
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,17,17,77.18,0.01,1
